year,gdp_per_capita_usd,population_millions,inflation_rate_pct,unemployment_rate_pct,literacy_rate_pct,life_expectancy_years,remittances_pct_gdp,exports_usd_bn,internet_users_pct,co2_emissions_kt,gdp_growth_pct,total_population_m,log_gdp,hdi_proxy,remittance_export_ratio
2000,280,4.9,18.79,7.48,98.1,65.2,2.1,0.51,1.0,6215.81,,4.9,5.634789603169249,0.0,4.118
2001,305,4.97,6.88,7.8,98.2,65.5,2.5,0.48,1.7000000000000002,5718.89,8.92857142857142,4.97,5.720311776607412,0.0531,5.208
2002,330,5.03,2.22,7.47,98.3,65.8,3.0,0.49,2.4000000000000004,5614.91,8.196721311475418,5.03,5.799092654460526,0.1051,6.122
2003,370,5.1,3.37,9.01,98.4,66.1,5.0,0.58,3.1,6082.28,12.12121212121211,5.1,5.91350300563827,0.163,8.621
2004,430,5.17,4.06,8.48,98.5,66.4,7.5,0.73,4.0,6468.86,16.216216216216207,5.17,6.063785208687608,0.2269,10.274
2005,480,5.24,4.26,8.09,98.6,66.7,15.0,0.67,5.5,7028.14,11.627906976744185,5.24,6.173786103901937,0.284,22.388
2006,530,5.32,5.88,8.28,98.7,67.0,22.0,0.81,8.0,7547.43,10.416666666666675,5.32,6.272877006546167,0.3394,27.16
2007,580,5.4,10.34,8.15,98.8,67.4,27.5,1.13,14.0,7842.85,9.433962264150942,5.4,6.363028103540465,0.3988,24.336
2008,700,5.48,24.42,8.0,98.9,67.7,25.0,1.84,20.0,8961.39,20.68965517241379,5.48,6.551080335043404,0.469,13.587
2009,860,5.58,6.9,8.37,99.0,68.0,20.0,1.72,28.0,8485.77,22.857142857142865,5.58,6.756932389247553,0.5421,11.628
2010,880,5.68,7.72,8.62,99.1,68.3,22.0,1.78,34.0,8215.24,2.3255813953488413,5.68,6.779921907472252,0.5848,12.36
2011,1000,5.78,16.42,8.47,99.1,68.6,28.0,2.27,40.0,9144.88,13.636363636363647,5.78,6.907755278982137,0.6227,12.335
2012,1080,5.88,2.84,8.41,99.2,68.9,30.7,1.92,45.0,9277.95,8.000000000000007,5.88,6.984716320118266,0.6744,15.99
2013,1180,5.99,6.26,8.04,99.2,69.2,32.0,2.08,49.0,9491.46,9.259259259259256,5.99,7.07326971745971,0.7058,15.385
2014,1260,6.1,7.19,7.56,99.3,69.5,31.5,2.18,53.0,9649.1,6.779661016949157,6.1,7.138866999945524,0.7556,14.45
2015,1100,6.2,6.4,7.51,99.3,69.7,29.0,1.87,58.0,9344.97,-12.698412698412698,6.2,7.003065458786462,0.7441,15.508
2016,1180,6.3,0.22,7.02,99.4,69.9,30.4,1.72,63.0,9237.38,7.272727272727275,6.3,7.07326971745971,0.7891,17.674
2017,1260,6.4,3.26,6.9,99.4,70.1,33.1,1.8,68.0,9662.4,6.779661016949157,6.4,7.138866999945524,0.8111,18.389
2018,1380,6.5,1.34,6.7,99.5,70.3,29.7,1.88,72.0,9796.69,9.523809523809534,6.5,7.22983877815125,0.8596,15.798
2019,1430,6.6,2.85,6.59,99.5,70.5,28.5,1.99,75.0,10246.17,3.6231884057970953,6.6,7.265429723253953,0.8766,14.322
2020,1680,6.68,6.56,5.86,99.5,70.6,20.2,2.395,78.0,9816.64,17.48251748251748,6.68,7.426549072397305,0.9089,8.434
2021,1610,6.76,11.86,6.48,99.5,70.3,32.4,2.8,81.0,9170.32,-4.1666666666666625,6.76,7.383989457978509,0.8852,11.571
2022,1900,6.84,14.71,5.89,99.6,70.8,35.0,3.3,83.0,10116.63,18.012422360248447,6.84,7.549609165154532,0.9627,10.606
2023,2080,6.93,10.55,5.73,99.6,71.2,33.5,3.5,85.5,10570.76,9.473684210526322,6.93,7.640123172695364,1.0,9.571
